clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,car_occupied_long_term,motorcycle_occupied_long_term,bicycle_occupied_long_term,CPU_time(in second)
19,5,12,1,3,2,7,1,2,1,11,174,140,0,0,0,0,0,0,11,95,8,34,40,
20,10,25,2,7,4,13,2,5,2,8,165,137,0,0,0,2,0,0,14,105,8,34,40,
21,1,4,0,1,0,2,0,1,1,8,163,136,0,0,0,1,0,0,14,108,8,34,40,
22,0,0,0,0,0,0,0,0,0,8,163,136,0,0,0,0,0,0,14,108,8,34,40,
23,0,17,0,5,0,3,0,5,4,8,160,131,0,0,0,5,0,0,14,113,8,34,40,
0,0,0,0,0,0,0,0,0,0,8,160,131,0,0,0,0,0,0,14,113,8,34,40,
1,0,0,0,0,0,0,0,0,0,8,160,131,0,0,0,0,0,0,14,113,8,34,40,
2,0,0,0,0,0,0,0,0,0,8,160,131,0,0,0,0,0,0,14,113,8,34,40,
3,0,0,0,0,0,0,0,0,0,8,160,131,0,0,0,0,0,0,14,113,8,34,40,
4,0,0,0,0,0,0,0,0,0,8,160,131,0,0,0,0,0,0,14,113,8,34,40,
5,4,2,1,0,2,1,0,0,2,9,161,131,0,0,0,0,0,0,13,112,8,34,40,
6,26,0,5,0,13,0,3,0,5,14,174,134,0,0,0,0,0,0,8,98,8,34,40,
7,16,0,3,0,10,0,2,0,1,17,184,136,0,0,0,0,0,0,5,87,8,34,40,
8,28,12,7,4,13,6,6,2,2,18,191,140,2,0,0,0,0,0,4,78,8,34,40,
9,25,10,5,2,10,6,2,1,9,20,195,141,1,0,0,0,0,0,2,73,8,34,40,
10,16,6,3,1,6,3,2,1,6,21,198,142,1,0,0,0,0,0,1,70,8,34,40,
11,12,12,2,2,5,6,1,1,7,20,197,142,1,0,0,0,0,0,2,71,8,34,40,
12,4,4,1,1,1,2,0,0,3,20,196,142,0,0,0,0,0,0,2,72,8,34,40,
13,10,10,2,2,4,4,1,1,6,20,196,142,0,0,0,0,0,0,2,72,8,34,40,
14,19,19,4,6,10,10,2,4,2,16,196,140,2,0,0,0,0,0,6,73,8,34,40,
15,9,9,2,2,4,4,1,1,4,16,196,140,0,0,0,0,0,0,6,73,8,34,40,
16,11,11,2,2,4,4,1,1,8,16,196,140,0,0,0,0,0,0,6,73,8,34,40,
17,18,18,4,4,7,10,4,2,5,16,193,142,0,0,0,0,0,0,6,75,8,34,40,
18,13,30,3,6,5,18,4,4,3,13,180,142,0,0,0,0,0,0,9,88,8,34,40,
19,5,11,1,3,2,6,1,2,1,11,176,141,0,0,0,0,0,0,11,92,8,34,40,
20,11,26,2,7,4,13,2,5,4,8,167,138,0,0,0,2,0,0,14,103,8,34,40,
21,3,7,1,2,1,4,0,1,1,8,164,137,0,0,0,1,0,0,14,106,8,34,40,
22,0,0,0,0,0,0,0,0,0,8,164,137,0,0,0,0,0,0,14,106,8,34,40,
23,0,22,0,7,0,4,0,6,5,8,160,131,0,0,0,7,0,0,14,113,8,34,40,
0,0,0,0,0,0,0,0,0,0,8,160,131,0,0,0,0,0,0,14,113,8,34,40,
